DAY_TYPE,TIME_PER_HOUR,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS
WEEKDAY,17,HarbourFront,Chinatown,1666
WEEKDAY,9,Hougang,Dhoby Ghaut,1665
WEEKDAY,17,Clarke Quay,Hougang,1665
WEEKDAY,16,Dhoby Ghaut,Sengkang,1663
WEEKDAY,19,Hougang,Serangoon,1662
WEEKDAY,9,Sengkang,Little India,1659
WEEKDAY,14,Serangoon,Punggol,1657
WEEKDAY,7,Punggol,Woodleigh,1657
WEEKDAY,18,Outram Park,Little India,1653
WEEKDAY,15,Sengkang,Buangkok,1652
WEEKDAY,12,Kovan,Sengkang,1651
WEEKDAY,19,Outram Park,Serangoon,1650
WEEKDAY,12,Kovan,Serangoon,1650
WEEKDAY,12,Sengkang,Serangoon,1650
WEEKDAY,11,Hougang,Punggol,1647
WEEKDAY,13,Serangoon,Sengkang,1639
WEEKDAY,14,Punggol,Hougang,1636
WEEKDAY,19,Chinatown,Punggol,1634
WEEKDAY,17,Clarke Quay,Sengkang,1633
WEEKDAY,19,Serangoon,Farrer Park,1632
WEEKDAY,16,Chinatown,Serangoon,1630
WEEKDAY,21,Farrer Park,Serangoon,1627
WEEKDAY,17,Serangoon,Kovan,1625
WEEKDAY,19,HarbourFront,Hougang,1625
WEEKDAY,16,Woodleigh,Serangoon,1622
WEEKDAY,21,Dhoby Ghaut,Boon Keng,1622
WEEKDAY,17,Kovan,Punggol,1622
WEEKDAY,13,Kovan,Sengkang,1613
WEEKDAY,7,Buangkok,Punggol,1613
WEEKDAY,18,Hougang,Buangkok,1612
WEEKDAY,18,HarbourFront,Boon Keng,1610
WEEKDAY,8,Kovan,Outram Park,1609
WEEKDAY,17,Farrer Park,Hougang,1608
WEEKDAY,18,Little India,Kovan,1607
WEEKDAY,9,Serangoon,Outram Park,1607
WEEKDAY,20,Kovan,Sengkang,1605
WEEKDAY,13,Sengkang,Serangoon,1605
WEEKDAY,17,Hougang,Serangoon,1605
WEEKDAY,19,Dhoby Ghaut,Farrer Park,1604
WEEKDAY,8,Boon Keng,HarbourFront,1603
